Ticker,E,Sigma_E,D,V,Sigma_V,d1,d2,PD
SBIBANK,6749810949629.455,0.299477981563904,46199885800000.0,50477238152143.54,0.04005244042954757,3.6039571180329437,3.563904677603396,0.0001826893437289999
BANKBARODA,1142439726470.0352,0.3958677091970294,18540153050000.0,18689760483018.184,0.024309600724449886,2.6052451445586104,2.5809355438341606,0.004926648841578297
CANBK,779871667623.5199,0.3998918214002723,22933935300000.0,22485936426175.1,0.01394751961447332,2.5359081196658737,2.5219606000514005,0.005835138942465834
HDFCBANK,4604538955192.271,0.2463206105056225,16514680050000.0,20235437936824.914,0.05604992984903535,4.634377479054828,4.578327549205793,2.3435417364512444e-06
ICICIBANK,4768774013265.092,0.2860652447255181,11763101850000.0,15902371166542.621,0.08578587497453444,4.198595233910489,4.112809358935955,1.9543657935458596e-05
AXISBANK,3411763696581.619,0.3229068679602929,9286845150000.0,12201592629244.736,0.09030066166476824,3.677101434443623,3.5868007727788545,0.00016737994510003298
KOTAKBANK,4312500828943.019,0.2675145041249206,10797108800000.0,14531803026733.781,0.07938869938129295,4.474345225362961,4.394956525981668,5.539746249033162e-06
INDUSINDBK,506522418846.4271,0.429140217945884,4371560250000.0,4643654057125.495,0.047126623132446074,2.471894614701114,2.4247679915686677,0.0076590863694558755
BAJFINANCE,5519551724220.358,0.3420216388086787,1927423750000.0,7343829672512.412,0.25706017676638776,5.546235044353831,5.289174867587444,6.143469054388299e-08
PNB,1076333324015.9728,0.3943633513330205,11199532750000.0,11676016596786.898,0.036493311195572586,2.6670831844783565,2.630589873282784,0.004261841458455595
